icao,iata,synop,name,state,country,lat,lon,elev,priority,srcid
,,98233,TUGUEGARAO,,RP,17.6478,121.7584,58,5,98233
,,98328,BAGUIO,,RP,16.404,120.6015,1500,5,98328
,,98433,TANAY,,RP,14.5812,121.3693,646,5,98433
,,98444,LEGASPI,,RP,13.1508,123.7283,15,5,98444
,,98558,GUIUAN,,RP,11.0456,125.7555,60,5,98558
,,98618,PUERTO PRINCESA,,RP,9.7401,118.7586,14,5,98618
,,98646,MACTAN,,RP,10.3167,123.9833,24,5,98646
,,98747,LUMBIA AIRPORT,,RP,8.4089,124.6119,186,5,98747
,,98753,DAVAO AIRPORT,,RP,7.128,125.6548,17,5,98753
TJSJ,SJU,78526,San Juan,PR,US,18.43,-66.0,21,5,SJU
,,20046,POLARGMO IM. E.T. KRENKELJA,,RS,80.6264,58.0589,21,5,20046
,,20292,GMO IM.E.K. FEDOROVA,,RS,77.7131,104.2919,12,5,20292
,,20674,OSTROV DIKSON,,RS,73.5136,80.4064,42,5,20674
,,20744,MALYE KARMAKULY (20744-0),,RS,72.3744,52.7161,18,5,20744
,,20891,HATANGA,,RS,71.9772,102.4664,31,5,20891
,,21824,TIKSI,,RS,71.5833,128.9167,6,5,21824
,,21946,CHOKURDAH,,RS,70.6167,147.8833,44,5,21946
,,22008,MURMANSK (RS),,RS,68.9833,33.1167,121,5,22008
